Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and country
1884,,Caldera,False,True,Krakatau(Indonesia)
1888,3,Estratovolcán,False,True,Ritter Island(Papua New Guinea)
1888,4,Estratovolcán,True,True,Bandai(Japan)
1913,2,Estratovolcán,True,True,Semeru(Indonesia)
1916,4,Estratovolcán,True,True,Tungurahua(Ecuador)
1920,3,Estratovolcán,True,True,Merapi(Indonesia)
1946,2,Estratovolcán,True,True,Semeru(Indonesia)
1948,2,Volcán complejo,True,True,Iliwerung(Indonesia)
1950,3,Estratovolcán,True,True,Camiguin(Philippines)
1950,2,Volcán complejo,True,True,Asama(Japan)
1951,,Estratovolcán,False,False,Cosiguina(Nicaragua)
1956,5,Estratovolcán,False,True,Bezymianny(Russia)
1958,2,Caldera,False,True,Kuwae(Vanuatu)
1967,3,Estratovolcán,True,True,Semeru(Indonesia)
1974,3,Estratovolcán,True,True,Sakura-jima(Japan)
1979,1,Volcán complejo,True,True,Dieng Volc Complex(Indonesia)
1984,3,Estratovolcán,True,True,Mayon(Philippines)
1988,3,Caldera,True,True,Banda Api(Pacific Ocean)
1993,1,Caldera,True,True,Krakatau(Indonesia)
1996,2,Estratovolcán,False,True,Karymsky(Russia)
1997,,Estratovolcán,False,True,Soufriere Hills(Montserrat)
2006,2,Estratovolcán,True,True,Bulusan(Philippines)
2007,4,Estratovolcán,True,True,Manam(Papua New Guinea)
2007,,Estratovolcán,True,True,"Tair, Jebel at(Yemen)"
2011,,Volcán escudo,True,True,Kirishima(Japan)
2012,,Volcán escudo,True,True,Tolbachik(Russia)
2018,1,Volcán escudo,False,False,Kilauea(United States)
2020,,Estratovolcán,False,False,Ijen(Indonesia)
-4360,6,Caldera,True,True,Macauley Island(New Zealand)
-4000,6,Caldera,True,True,Pago(Papua New Guinea)
-50,6,Escudo piroclástico,True,True,Apoyeque(Nicaragua)
46,3,Volcán escudo,False,True,Santorini(Greece)
500,,Campo volcánico,True,True,"Arhab, Harra of(Yemen)"
787,3,Volcán complejo,True,True,Vesuvius(Italy)
1536,3,Estratovolcán,True,True,Etna(Italy)
1690,,Volcán complejo,False,True,Vesuvius(Italy)
1726,1,Estratovolcán,True,True,Bardarbunga(Iceland)
1730,3,Estratovolcán,True,True,Raung(Indonesia)
