Team,Nationality,Position,Age,Potential,Name
Torino ,Italy,Portero,33,Muy Bueno,Salvatore Sirigu
Wolverhampton Wanderers ,Portugal,Medio Centro,33,Muy Bueno,João Moutinho
FC Barcelona ,France,Extremo Derecho|Extremo Izquierdo,23,Sobresaliente,Ousmane Dembélé
Grêmio ,Brazil,Medio Centro Ofensivo|Extremo Derecho,28,Muy Bueno,Ronaldo Cabrais
Grêmio ,Brazil,Defensa Central,28,Muy Bueno,Josué Chiamulera
Atlético Mineiro ,Brazil,Delantero Centro|Media Punta,28,Muy Bueno,Louri Beretta
Real Sociedad ,Spain,Extremo Derecho|Extremo Izquierdo,23,Muy Bueno,Oyarzabal
Napoli ,Spain,Medio Centro,24,Muy Bueno,Fabián
Ajax ,Netherlands,Medio Centro|Medio Centro Ofensivo,23,Muy Bueno,Donny van de Beek
Roma ,Spain,Portero,25,Muy Bueno,Pau López
Getafe CF ,Togo,Defensa Central,28,Muy Bueno,Dakonam Djené
SL Benfica ,Portugal,Medio Derecho|Medio Izquierdo,27,Muy Bueno,Rafa
TSG 1899 Hoffenheim ,Croatia,Delantero Centro|Medio Centro Ofensivo,29,Muy Bueno,Andrej Kramaric
Inter ,Croatia,Medio Centro Defensivo|Medio Centro,27,Muy Bueno,Marcelo Brozovic
Atalanta ,Colombia,Delantero Centro,29,Muy Bueno,Duván Zapata
Guangzhou Evergrande Taobao FC ,Brazil,Medio Centro Ofensivo|Extremo Derecho,26,Muy Bueno,Anderson Talisca
Lazio ,lbania,Portero,25,Muy Bueno,Thomas Strakosha
Manchester United ,France,Delantero Centro,24,Muy Bueno,Anthony Martial
Ajax ,Argentina,Lateral Izquierdo,27,Muy Bueno,Nicolás Tagliafico
Tottenham Hotspur ,England,Medio Centro|Medio Centro Ofensivo,24,Muy Bueno,Dele Alli
Milan ,Italy,Defensa Central,25,Muy Bueno,Alessio Romagnoli
SL Benfica ,Spain,Lateral Izquierdo,24,Muy Bueno,Grimaldo
Borussia Dortmund ,Portugal,Lateral Izquierdo|Medio Izquierdo|Medio Centro,26,Muy Bueno,Raphaël Guerreiro
Ajax ,Netherlands,Medio Centro Ofensivo|Extremo Izquierdo,28,Muy Bueno,Quincy Promes
Eintracht Frankfurt ,Serbia,Carrilero Izquierdo|Medio Izquierdo|Extremo Izquierdo,27,Muy Bueno,Filip Kostic
Atlético Madrid ,Belgium,Medio Izquierdo,26,Muy Bueno,Yannick Carrasco
Chelsea ,Spain,Portero,25,Muy Bueno,Kepa
Medipol Basaksehir FK ,Bosnia & Herzegovina,Medio Derecho,30,Muy Bueno,Edin Višca
Napoli ,Poland,Delantero Centro,26,Muy Bueno,Arkadiusz Milik
Real Sociedad ,Spain,Medio Derecho|Media Punta|Extremo Derecho,28,Muy Bueno,Portu
Olympique de Marseille ,France,Medio Derecho|Extremo Derecho,27,Muy Bueno,Florian Thauvin
RB Leipzig ,Austria,Medio Centro|Medio Centro Ofensivo,26,Muy Bueno,Marcel Sabitzer
Wolverhampton Wanderers ,Mexico,Delantero Centro,29,Muy Bueno,Raúl Jiménez
Atlético Madrid ,Montenegro,Defensa Central,29,Muy Bueno,Stefan Savic
Borussia Dortmund ,Belgium,Medio Derecho|Medio Izquierdo|Media Punta,27,Muy Bueno,Thorgan Hazard
Manchester United ,England,Defensa Central,27,Muy Bueno,Harry Maguire
Valencia CF ,Brazil,Defensa Central,29,Muy Bueno,Gabriel Paulista
Atlético Madrid ,Spain,Delantero Centro,27,Muy Bueno,Morata
Everton ,France,Lateral Izquierdo,27,Muy Bueno,Lucas Digne
Ajax ,Serbia,Medio Centro Ofensivo|Media Punta|Extremo Izquierdo,31,Muy Bueno,Dušan Tadic
Bayer 04 Leverkusen ,Chile,Medio Centro Defensivo|Medio Centro,31,Muy Bueno,Charles Aránguiz
Paris Saint-Germain ,Spain,Medio Centro Ofensivo|Extremo Derecho,28,Muy Bueno,Pablo Sarabia
Crystal Palace ,Ivory Coast,Medio Izquierdo|Media Punta,27,Muy Bueno,Wilfried Zaha
Valencia CF ,Spain,Delantero Centro,29,Muy Bueno,Rodrigo
Real Betis ,Spain,Defensa Central|Medio Centro Defensivo,29,Muy Bueno,Bartra
FC Bayern München ,Austria,Lateral Izquierdo|Defensa Central,28,Muy Bueno,David Alaba
Liverpool ,Cameroon,Defensa Central,28,Muy Bueno,Joel Matip
