team,nationality,position,age,potential,name
imnasia y Esgrima La Plat,Argentina,Delantero Centro | Medio Derecho | Medio Izquierdo | ,24,Bueno,Horacio Tijanovich
D Lug,France,Medio Izquierdo,25,Bueno,Yanis Rahmani
xtremadura U,Spain,Medio Centro Defensivo | Medio Centro | ,35,Bueno,David Rocha
intracht Braunschwei,Germany,Lateral Izquierdo,24,Bueno,Niko Kijewski
pVgg Greuther Fürt,Germany,Medio Izquierdo | Extremo Izquierdo | ,25,Bueno,Kenny Prince Redondo
V Kortrij,France,Medio Centro Defensivo | Medio Centro | Medio Centro Ofensivo | ,31,Bueno,Elohim Rolland
oyal Antwerp F,Belgium,Portero,22,Bueno,Jens Teunckens
oyal Excel Mouscro,Belgium,Lateral Derecho | Lateral Izquierdo | Defensa Central | ,22,Bueno,Nathan De Medina
lanyaspo,Turkey,Defensa Central,29,Bueno,Lokman Gör
e Mans F,Gambia,Delantero Centro | Medio Derecho | Medio Izquierdo | ,25,Bueno,Aboubakary Kanté
eal Racing Clu,Belgium,Medio Centro Defensivo | Medio Centro | ,24,Bueno,Aristote Nkaka
irona F,Spain,Medio Centro Defensivo | Medio Centro | ,23,Bueno,Christian Rivera
aasland-Bevere,Belgium,Defensa Central,23,Bueno,Maximiliano Caufriez
asimpasa S,Belgium,Lateral Derecho | Medio Centro Defensivo | ,26,Bueno,Mickaël Tirpan
V Mattersbur,Spain,Medio Centro Defensivo | Medio Centro | ,33,Bueno,Jano
erth Glor,Australia,Defensa Central,29,Bueno,Tomislav Mrcela
est Ham Unite,Portugal,Delantero Centro | Medio Derecho | Medio Izquierdo | ,23,Bueno,Xande Silva
C Twent,Netherlands,Lateral Derecho,22,Bueno,Giovanni Troupée
J Auxerr,France,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo | ,24,Bueno,Kenji-Van Boto
lub Deportivo Jorge Wilsterman,Bolivia,Lateral Derecho | Extremo Derecho | ,28,Bueno,Ramiro Ballivián
. Valladolid C,Spain,Lateral Derecho | Defensa Central | ,22,Muy Bueno,Diego Alende
V Wehen Wiesbade,Germany,Lateral Derecho | Medio Derecho | Medio Izquierdo | ,26,Bueno,Marvin Ajani
J Auxerr,Haiti,Lateral Derecho,24,Bueno,Carlens Arcus
K Austria Wie,Austria,Portero,23,Bueno,Patrick Pentz
otherham Unite,Denmark,Portero,23,Bueno,Daniel Iversen
arnsle,Senegal,Delantero Centro | Medio Izquierdo | ,25,Bueno,Mamadou Thiam
uddersfield Tow,Poland,Portero,21,Muy Bueno,Kamil Grabara
ouston Dynam,Argentina,Medio Centro Defensivo | Medio Centro | ,24,Bueno,Matías Vera
CD Espanyo,Cameroon,Delantero Centro | Medio Izquierdo | Medio Centro Ofensivo | ,22,Bueno,Kévin Soni
rawa Red Diamond,Australia,Lateral Derecho | Defensa Central | ,23,Bueno,Thomas Deng
EC Zwoll,Netherlands,Lateral Izquierdo,23,Bueno,Kenneth Paal
lask Wrocla,Uruguay,Lateral Derecho | Lateral Izquierdo | ,25,Bueno,Guillermo Cotugno
aasland-Bevere,Belgium,Medio Derecho | Medio Izquierdo | ,24,Bueno,Beni Badibanga
ortuna Sittar,Sweden,Medio Centro Defensivo | Medio Centro | ,23,Bueno,Tesfaldet Tekie
yeongnam F,Korea Republic,Delantero Centro | Medio Derecho | Medio Izquierdo | ,25,Bueno,Kim Seung Joon
eju United F,Korea Republic,Lateral Derecho | Medio Derecho | ,25,Bueno,An Hyeon Beom
arpsborg 08 F,Egypt,Medio Centro | Extremo Izquierdo | ,26,Bueno,Alexander Jakobsen
eportivo Past,Colombia,Defensa Central,25,Bueno,Danilo Arboleda
iddlesbroug,England,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo | ,29,Bueno,Marvin Johnson
aykur Rizespo,Croatia,Lateral Izquierdo,27,Bueno,Dario Melnjak
elenense,Colombia,Delantero Centro,23,Bueno,Mateo Cassierra
ndependient,Argentina,Delantero Centro | Medio Derecho | Medio Izquierdo | ,29,Bueno,Braian Romero
a Equida,Colombia,Defensa Central,31,Bueno,John García
EC Zwoll,Germany,Portero,25,Bueno,Michael Zetterer
xtremadura U,Spain,Medio Derecho | Medio Izquierdo | ,23,Bueno,Pastrana
F Fuenlabrad,Spain,Medio Izquierdo,28,Bueno,José Fran
KS Raków Czestochowa S,Serbia,Medio Centro Defensivo | Medio Centro Ofensivo | ,27,Bueno,Marko Poletanovic
olumbus Crew S,Sweden,Defensa Central,29,Bueno,Axel Sjöberg
angers F,United States,Lateral Derecho | Medio Centro Defensivo | ,27,Bueno,Matt Polster
atronat,Argentina,Medio Derecho | Medio Izquierdo | Extremo Derecho | ,25,Bueno,Santiago Rosales
oronto F,United States,Portero,26,Bueno,Alex Bono
eal Salt Lak,United States,Defensa Central | Medio Centro Defensivo | Medio Centro | ,27,Bueno,Nick Besler
C Hansa Rostoc,Slovenia,Medio Derecho | Medio Izquierdo | Medio Centro | ,30,Bueno,Nik Omladic
portverein Waldhof Mannheim 07 e.V,Germany,Medio Centro Defensivo | Medio Centro | ,23,Bueno,Max Christiansen
lub Atlético Tallere,Colombia,Delantero Centro | Medio Izquierdo | ,23,Bueno,Diego Valoyes
niversidad de Chil,Chile,Medio Derecho | Medio Centro | ,23,Bueno,Jimmy Martinez
FK Norrköpin,Montenegro,Medio Centro | Extremo Izquierdo | ,21,Bueno,Sead Hakšabanovic
ndependiente Medellí,Argentina,Medio Centro Defensivo | Medio Centro | ,27,Bueno,Adrián Arregui
nión La Caler,Chile,Delantero Centro | Medio Centro Ofensivo | Extremo Izquierdo | ,22,Bueno,Jeisson Vargas
pVgg Greuther Fürt,Germany,Carrilero Derecho | Lateral Derecho | Medio Derecho | Extremo Derecho | ,26,Bueno,Maximilian Sauer
D O'Higgin,Chile,Lateral Derecho | Defensa Central | ,23,Bueno,Brian Torrealba
îmes Olympiqu,France,Delantero Centro,25,Bueno,Clément Depres
C Augsbur,England,Lateral Derecho | Defensa Central | Medio Centro Defensivo | ,21,Bueno,Reece Oxford
V Wehen Wiesbade,Germany,Lateral Izquierdo | Medio Izquierdo | ,25,Bueno,Maximilian Dittgen
ibernia,Scotland,Medio Centro Defensivo | Medio Centro | ,24,Bueno,Stevie Mallan
eattle Sounders F,United States,Carrilero Derecho | Medio Derecho | Medio Izquierdo | Extremo Derecho | ,30,Bueno,Miguel Ibarra
eportes Tolim,Colombia,Lateral Izquierdo | Medio Izquierdo | Extremo Izquierdo | ,24,Bueno,Omar Albornoz
V Sandhause,Germany,Medio Centro Defensivo | Medio Centro | ,24,Bueno,Marlon Frey
STAC Troye,Ivory Coast,Delantero Centro,24,Bueno,Chris Bedia
irmingham Cit,Mali,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo | ,24,Bueno,Cheick Keita
otbal Club Viitorul Constan?,Romania,Medio Centro,31,Bueno,Vlad Achim
C Nordsjællan,Denmark,Carrilero Derecho | Lateral Derecho | Extremo Derecho | ,23,Bueno,Mads Døhr Thychosen
C Nordsjællan,Norway,Lateral Izquierdo | Extremo Izquierdo | ,22,Bueno,Mathias Rasmussen
hamois Niortais Football Clu,France,Medio Centro Defensivo | Medio Centro | ,25,Bueno,Dylan Louiserre
is,Italy,Medio Centro | Medio Centro Ofensivo | ,25,Bueno,Marco Pinato
is,Italy,Lateral Derecho | Medio Derecho | ,26,Bueno,Francesco Belli
a Equida,Colombia,Lateral Derecho | Medio Derecho | ,25,Bueno,Walmer Pacheco
ttifaq F,Saudi Arabia,Medio Derecho | Medio Izquierdo | ,25,Bueno,Mohammed Al Kuwaykibi
roton,Argentina,Defensa Central,25,Bueno,Marcos Curado
wansea Cit,Scotland,Medio Centro Defensivo | Medio Centro | Medio Centro Ofensivo | ,24,Bueno,George Byers
FK Norrköpin,Sweden,Defensa Central,23,Bueno,Filip Dagerstål
. FC Heidenheim 184,Germany,Medio Derecho | Medio Izquierdo | ,23,Bueno,Maurice Multhaup
eijing Sinobo Guoan F,China PR,Lateral Izquierdo,28,Bueno,Li Lei
hanghai SIPG F,China PR,Medio Centro Defensivo | Medio Centro | ,30,Bueno,Cai Huikang
uachipato F,Chile,Medio Centro Ofensivo,25,Bueno,Israel Poblete
VV-Venl,Germany,Medio Izquierdo | Medio Centro | Medio Centro Ofensivo | ,23,Bueno,Richard Neudecker
ristiansund B,France,Defensa Central,32,Bueno,Christophe Psyché
unior F,Colombia,Defensa Central,24,Bueno,Jefferson Gómez
D Numanci,Spain,Lateral Derecho,25,Bueno,Iván Calero
egia Warszaw,Poland,Defensa Central,23,Bueno,Mateusz Wieteska
eni Malatyaspo,Egypt,Lateral Izquierdo,24,Bueno,Karim Hafez
parta Rotterda,Netherlands,Medio Izquierdo,26,Bueno,Mohamed Rayhi
uebl,Mexico,Medio Centro Defensivo | Medio Centro | ,26,Bueno,Javier Salas
D O'Higgin,Chile,Lateral Derecho | Medio Derecho | ,28,Bueno,Alejandro Márquez
enezi,Italy,Delantero Centro | Extremo Izquierdo | ,24,Bueno,Alessandro Capello
angers F,England,Extremo Derecho,23,Bueno,Sheyi Ojo
isla Ploc,Poland,Medio Centro | Medio Centro Ofensivo | ,27,Bueno,Mateusz Szwoch
K Häcke,Nigeria,Lateral Derecho,25,Bueno,Godswill Ekpolo
oyal Excel Mouscro,Serbia,Portero,30,Bueno,Vaso Vasic
C Heerenvee,Netherlands,Medio Centro Defensivo | Medio Centro | ,22,Bueno,Rodney Kongolo
ivasspo,Turkey,Lateral Derecho,27,Bueno,Baris Yardimci
C Lugan,Austria,Medio Centro Defensivo | Medio Centro | ,22,Bueno,Sandi Lovric
C Paços de Ferreir,Portugal,Medio Centro Defensivo | Medio Centro | ,31,Bueno,Vasco Rocha
C Luzer,Germany,Defensa Central | Medio Centro Defensivo | Medio Centro | ,25,Bueno,Marvin Schulz
C Paderborn 0,Germany,Medio Centro | Medio Centro Ofensivo | ,25,Bueno,Marlon Ritter
mérica de Cal,Colombia,Defensa Central,24,Bueno,Marlon Torres
ull Cit,Scotland,Lateral Izquierdo,26,Bueno,Stephen Kingsley
EC Zwoll,Netherlands,Portero,24,Bueno,Xavier Mous
eni Malatyaspo,Turkey,Lateral Izquierdo,28,Bueno,Erkan Kas
lub Nacional de Footbal,Uruguay,Portero,27,Bueno,Sergio Rochet
pVgg Greuther Fürt,Germany,Medio Derecho | Medio Izquierdo | Medio Centro | ,25,Bueno,Sebastian Ernst
ortland Timber,Peru,Medio Centro Defensivo | Medio Derecho | Medio Centro | ,25,Bueno,Andy Polo
 Craiova 1948 Club Sporti,Romania,Medio Centro Defensivo | Medio Centro | ,30,Bueno,Alexandru Mateiu
 Craiova 1948 Club Sporti,Romania,Lateral Izquierdo | Medio Izquierdo | Extremo Izquierdo | ,27,Bueno,Bogdan Vatajelu
KS Raków Czestochowa S,Poland,Defensa Central,26,Bueno,Jaroslaw Jach
berdee,Scotland,Defensa Central,26,Bueno,Mikey Devlin
jurgårdens I,Norway,Lateral Derecho,24,Bueno,Aslak Fonn Witry
K Sturm Gra,Austria,Delantero Centro,26,Bueno,Kevin Friesenbichler
parta Rotterda,Cape Verde,Lateral Derecho,31,Bueno,Jeffry Fortes
uton Tow,England,Medio Centro | Medio Centro Ofensivo | ,28,Bueno,Luke Berry
D Ponferradin,Argentina,Defensa Central,27,Bueno,Fabián Noguera
pswich Tow,England,Medio Centro | Medio Centro Ofensivo | ,28,Bueno,Jon Nolan
C Lorien,France,Lateral Derecho,34,Bueno,Jérôme Hergault
. Sportin,Spain,Delantero Centro | Medio Derecho | Medio Centro Ofensivo | ,26,Bueno,Pablo Pérez
ortsmout,England,Medio Centro Defensivo | Medio Centro | ,23,Bueno,Ben Close
tade Malherbe Cae,Senegal,Lateral Izquierdo,26,Bueno,Adama Mbengue
incoln Cit,England,Medio Centro Ofensivo,24,Bueno,Jake Hesketh
ottingham Fores,England,Portero,25,Bueno,Jordan Smith
porting Charlero,Belgium,Extremo Derecho | Extremo Izquierdo | ,25,Bueno,Joris Kayembe
reston North En,England,Medio Centro Defensivo | Medio Centro | ,22,Bueno,Ryan Ledson
C St. Paul,Germany,Lateral Derecho,24,Bueno,Luca Zander
angju Sangmu F,Korea Republic,Lateral Derecho | Lateral Izquierdo | ,26,Bueno,Kang Sang Woo
C Seou,Korea Republic,Defensa Central,25,Bueno,Hwang Hyun Soo
.N.A.M,Mexico,Medio Centro Defensivo | Medio Centro | ,26,Bueno,Leonel López
ervette F,France,Delantero Centro,24,Bueno,Grejohn Kyei
ewell's Old Boy,Argentina,Medio Centro Defensivo | Medio Derecho | Medio Centro | ,24,Bueno,Denis Rodríguez
D Mirandé,Ghana,Extremo Izquierdo,24,Bueno,Ernest Ohemeng
lub Leó,Colombia,Medio Izquierdo | Medio Centro Ofensivo | ,25,Bueno,Jown Cardona
C Twent,Spain,Lateral Derecho | Defensa Central | ,23,Bueno,Pleguezuelo
C Celt,Spain,Portero,23,Bueno,Iván Villar
itória Setúba,Portugal,Medio Centro,28,Bueno,Nuno Valente
underlan,United States,Extremo Derecho | Extremo Izquierdo | ,24,Bueno,Lynden Gooch
C Emme,Netherlands,Defensa Central,23,Bueno,Keziah Veendorp
lub Plaza de Deportes Coloni,Uruguay,Defensa Central,32,Bueno,Mario Risso
ueens Park Ranger,England,Lateral Derecho | Medio Centro Defensivo | Medio Centro | ,24,Bueno,Dominic Ball
remon,Italy,Medio Centro,24,Bueno,Luca Valzania
iangsu Suning F,China PR,Portero,30,Bueno,Gu Chao
unior F,Colombia,Lateral Izquierdo,24,Bueno,Jeison Angulo
aasland-Bevere,Belgium,Portero,22,Bueno,Nordin Jackers
ianjin Tianhai F,China PR,Medio Derecho | Extremo Derecho | Extremo Izquierdo | ,30,Bueno,Sun Ke
K Bodø/Glim,Norway,Medio Centro Defensivo | Medio Centro | ,22,Bueno,Patrick Berg
illonarios F,Colombia,Medio Derecho,25,Bueno,Hansel Zapata
ree Agent,South Africa,Lateral Izquierdo | Medio Centro Defensivo | Medio Centro | ,30,Bueno,Thato Mokeke
røndby I,Denmark,Medio Centro,32,Bueno,Kasper Fisker
hanghai SIPG F,China PR,Medio Centro Defensivo | Medio Centro | ,29,Bueno,Muzepper Mirahmetjan
illonarios F,Colombia,Medio Derecho | Medio Centro | ,27,Bueno,Juan Carlos Pereira
I,Sweden,Defensa Central | Carrilero Izquierdo | Extremo Izquierdo | ,30,Bueno,Rasmus Lindkvist
agan Tos,Korea Republic,Medio Derecho | Medio Izquierdo | ,28,Bueno,Ahn Yong Woo
ncheon United F,Korea Republic,Medio Centro Defensivo | Medio Centro | ,28,Bueno,Kim Do Hyeok
rlando Pirate,South Africa,Lateral Derecho | Defensa Central | Medio Centro Defensivo | ,30,Bueno,Ntsikelelo Nyauza
EC Zwoll,Netherlands,Defensa Central | Medio Centro Defensivo | ,25,Bueno,Rick Dekker
yeongnam F,Korea Republic,Lateral Derecho | Lateral Izquierdo | Defensa Central | ,27,Bueno,Woo Ju Sung
D Antofagast,Chile,Medio Derecho | Medio Izquierdo | Medio Centro Ofensivo | ,23,Bueno,Jason Flores
angju Sangmu F,Korea Republic,Delantero Centro | Medio Centro Ofensivo | Extremo Derecho | ,28,Bueno,Song Seung Min
nvigado F,Colombia,Lateral Izquierdo,28,Bueno,Luis Tipton
ionegro Águila,Colombia,Lateral Izquierdo | Defensa Central | ,32,Bueno,Carlos Ramírez
xford Unite,Republic of Ireland,Medio Centro Defensivo | Medio Centro | ,24,Bueno,Liam Kelly
olumbus Crew S,Costa Rica,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo | ,29,Bueno,Waylon Francis
xford Unite,England,Medio Centro Defensivo | Medio Centro | ,24,Bueno,Cameron Brannagan
arpsborg 08 F,Croatia,Medio Centro Defensivo,31,Bueno,Mate Maleš
l Shaba,Saudi Arabia,Medio Centro Defensivo | Medio Centro | ,26,Bueno,Abdulmajeed Al Sulayhim
ortland Timber,New Zealand,Lateral Derecho | Defensa Central | Medio Centro Defensivo | ,25,Bueno,Bill Tuiloma
portverein Waldhof Mannheim 07 e.V,Kosovo,Delantero Centro | Medio Derecho | Medio Izquierdo | ,24,Bueno,Valmir Sulejmani
C Erzgebirge Au,Germany,Defensa Central,25,Bueno,Malcolm Cacutalua
D Mirandé,France,Medio Centro Defensivo | Medio Centro | ,24,Bueno,Mickaël Malsa
. Ovied,Spain,Medio Centro Defensivo | Medio Centro | ,28,Bueno,Luismi
eal Racing Clu,Spain,Lateral Izquierdo,26,Bueno,Moi Delgado
eportivo Past,Colombia,Medio Derecho | Medio Centro Ofensivo | ,29,Bueno,Daniel Hernández
alborg B,Denmark,Medio Centro Defensivo | Medio Centro | ,26,Bueno,Patrick Olsen
ranada C,Spain,Portero,24,Bueno,Aarón
órnik Zabrz,Poland,Defensa Central,24,Bueno,Pawel Bochniewicz
angers F,England,Medio Izquierdo,23,Bueno,Brandon Barker
eterborough Unite,England,Medio Centro Ofensivo,24,Bueno,Sammie Szmodics
C Sio,Brazil,Defensa Central,30,Bueno,Raphael Rossi
ntalyaspo,Turkey,Lateral Derecho | Defensa Central | ,29,Bueno,Salih Dursun
esportivo das Ave,Croatia,Lateral Derecho,27,Bueno,Mato Miloš
îmes Olympiqu,France,Lateral Derecho | Lateral Izquierdo | ,26,Bueno,Gaëtan Paquiez
arpsborg 08 F,Sweden,Carrilero Izquierdo | Medio Centro | Extremo Izquierdo | ,24,Bueno,Anton Salétros
D Huesc,Spain,Portero,26,Bueno,Rubén Yáñez
olumbus Crew S,Nigeria,Delantero Centro,29,Bueno,Fanendo Adi
otbal Club Dinamo Bucure?t,Italy,Delantero Centro,28,Bueno,Mattia Montini
olorado Rapid,Scotland,Medio Derecho,25,Bueno,Sam Nicholson
úcuta Deportiv,Argentina,Delantero Centro,28,Bueno,Agustín Vuletich
uachipato F,Chile,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo | ,25,Bueno,Cristián Cuevas
enezi,Italy,Portero,25,Bueno,Luca Lezzerini
tlético Naciona,Colombia,Lateral Izquierdo | Defensa Central | ,27,Bueno,Christian Mafla
lub Atlético Peñaro,Chile,Medio Derecho | Extremo Derecho | Extremo Izquierdo | ,26,Bueno,Christian Bravo
AA Gen,Gambia,Medio Centro Defensivo | Medio Centro | ,24,Bueno,Sulayman Marreh
rlando Pirate,Malawi,Delantero Centro,27,Bueno,Gabadhino Mhango
illonarios F,Colombia,Medio Derecho | Medio Izquierdo | ,31,Bueno,Eliser Quiñones
niversidad de Chil,Argentina,Lateral Izquierdo | Medio Izquierdo | Extremo Izquierdo | ,30,Bueno,Jonathan Zacaría
berdee,Wales,Medio Derecho | Medio Izquierdo | ,25,Bueno,Ryan Hedges
C Twent,Netherlands,Defensa Central,25,Bueno,Peet Bijen
port Huancay,Chile,Delantero Centro | Extremo Derecho | Extremo Izquierdo | ,29,Bueno,Carlos Ross
eart of Midlothia,Northern Ireland,Delantero Centro,28,Bueno,Conor Washington
l Rae,Algeria,Portero,33,Bueno,Azzeddine Doukha
agan Tos,Japan,Defensa Central | Medio Centro Defensivo | Medio Centro | ,32,Bueno,Hideto Takahashi
C Utrech,Czech Republic,Extremo Derecho | Extremo Izquierdo | ,22,Bueno,Václav Cerny
ençlerbirligi S,Brazil,Defensa Central,26,Bueno,Flávio
otherwel,England,Delantero Centro,25,Bueno,Chris Long
aasland-Bevere,Belgium,Medio Derecho | Medio Izquierdo | ,25,Bueno,Tuur Dierckx
V Wehen Wiesbade,Poland,Carrilero Derecho | Medio Centro Defensivo | Medio Centro | Extremo Derecho | ,26,Bueno,Sebastian Mrowca
sbjerg f,Finland,Medio Centro,30,Bueno,Joni Kauko
fL Osnabrüc,Netherlands,Defensa Central,26,Bueno,Joost van Aken
ull Cit,England,Medio Centro | Medio Centro Ofensivo | ,25,Bueno,George Honeyman
underlan,England,Medio Derecho | Medio Izquierdo | ,26,Bueno,Duncan Watmore
eart of Midlothia,England,Delantero Centro,25,Bueno,Uche Ikpeazu
parta Rotterda,Netherlands,Defensa Central,29,Bueno,Bart Vriends
C Erzgebirge Au,Austria,Delantero Centro | Medio Izquierdo | ,30,Bueno,Philipp Zulechner
remon,Italy,Medio Centro,33,Bueno,Mariano Arini
scol,Argentina,Defensa Central,31,Bueno,Nahuel Valentini
D O'Higgin,Chile,Medio Centro,26,Bueno,Gerardo Navarrete
ilmarnoc,Netherlands,Medio Centro Defensivo | Medio Centro | ,33,Bueno,Mohamed El Makrini
C Twent,Netherlands,Lateral Izquierdo | Defensa Central | ,27,Bueno,Xandro Schenk
otherwel,Northern Ireland,Lateral Derecho | Defensa Central | Medio Centro Defensivo | ,24,Bueno,Liam Donnelly
osenborg B,Sweden,Delantero Centro,26,Bueno,Dino Islamovic
alern,Italy,Medio Derecho | Extremo Derecho | Extremo Izquierdo | ,24,Bueno,Cristiano Lombardi
otbal Club Voluntar,Romania,Delantero Centro,26,Bueno,Catalin ?îra
e Mans F,France,Defensa Central | Medio Centro Defensivo | ,29,Bueno,Yann Boé-Kane
aris F,France,Medio Izquierdo | Medio Centro | ,30,Bueno,Florian Martin
ycombe Wanderer,England,Lateral Derecho,24,Bueno,Jason McCarthy
underlan,England,Carrilero Derecho | Medio Centro | Extremo Derecho | ,25,Bueno,Luke O'Nien
otbal Club Viitorul Constan?,Romania,Delantero Centro | Extremo Derecho | Extremo Izquierdo | ,29,Bueno,Aurelian Chi?u
C Chambly Ois,France,Defensa Central | Medio Centro | ,26,Bueno,Maxence Derrien
lbacete B,Montenegro,Defensa Central,32,Bueno,Ivan Kecojevic
euchâtel Xamax FC,Switzerland,Delantero Centro | Media Punta | ,27,Bueno,Gaëtan Karlen
tabæk Fotbal,Belgium,Medio Centro Defensivo | Medio Centro | ,26,Bueno,Tortol Lumanza Lembi
ull Cit,Australia,Lateral Izquierdo,25,Bueno,Callum Elder
tade Brestois 2,France,Defensa Central,25,Bueno,Brendan Chardonnet
a Berrichonne de Châteaurou,France,Lateral Derecho,30,Bueno,Jérémy Cordoval
elenense,Guinea,Delantero Centro,28,Bueno,Alhassane Keita
lub Atlético Aldosiv,Argentina,Medio Centro Defensivo | Medio Centro | ,27,Bueno,Gastón Gil Romero
SV Duisbur,Germany,Medio Centro Defensivo,27,Bueno,Tim Albutat
tlético Tucumá,Argentina,Delantero Centro | Medio Derecho | Medio Izquierdo | ,27,Bueno,Lucas Melano
lub Atlético Lanú,Argentina,Portero,32,Bueno,Guillermo Sara
dense Boldklu,Norway,Delantero Centro | Extremo Izquierdo | ,22,Bueno,Sander Svendsen
eportes Iquiqu,Chile,Defensa Central,36,Bueno,Mauricio Zenteno
lub Atlético Central Córdob,Argentina,Lateral Derecho | Lateral Izquierdo | ,31,Bueno,Cristian Díaz
tlético Tucumá,Argentina,Medio Centro Defensivo | Medio Centro | ,26,Bueno,Federico Bravo
uricó Unid,Argentina,Medio Centro Defensivo | Medio Centro | ,30,Bueno,Fernando Godoy
e Mans F,DR Congo,Medio Derecho | Medio Izquierdo | ,26,Bueno,Harrison Manzala
lbacete B,Spain,Lateral Derecho | Defensa Central | ,27,Bueno,Caro
.D. Universidad Católica del Ecuado,Argentina,Delantero Centro | Medio Centro Ofensivo | ,27,Bueno,Bruno Vides
olo-Col,Chile,Lateral Izquierdo,29,Bueno,Ronald de la Fuente
D Universidad de Concepció,Chile,Medio Centro Defensivo | Medio Centro | ,26,Bueno,Leonardo Povea
niversidad Católic,Chile,Lateral Derecho | Defensa Central | ,23,Bueno,Tomás Asta-Buruaga
uricó Unid,Argentina,Delantero Centro | Extremo Derecho | Extremo Izquierdo | ,33,Bueno,Sebastián Jaime
oquimbo Unid,Argentina,Medio Centro Defensivo | Medio Centro | ,26,Bueno,Gaspar Iñiguez
.N.A.M,Argentina,Defensa Central,26,Bueno,Nicolás Freire
niversidad de Chil,Chile,Lateral Derecho | Defensa Central | Medio Derecho | ,29,Bueno,Augusto Barrios
tlético Bucaramang,Colombia,Portero,30,Bueno,Cristian Vargas
úcuta Deportiv,Colombia,Defensa Central | Medio Centro Defensivo | Medio Centro | ,28,Bueno,Nicolás Palacios
D Palestin,Chile,Lateral Derecho | Medio Centro Defensivo | Medio Centro | ,31,Bueno,Esteban Carvajal
lub Unión Magdalena S.,Argentina,Defensa Central,36,Bueno,Fernando Battiste
olo-Col,Chile,Medio Derecho | Extremo Derecho | ,27,Bueno,Nicolás Maturana
D O'Higgin,Chile,Defensa Central,37,Bueno,Albert Acevedo
port Huancay,Colombia,Delantero Centro,30,Bueno,Charles Monsalvo
aguares Fútbol Clu,Colombia,Medio Derecho | Medio Izquierdo | ,32,Bueno,Jefferson Cuero
lianza Petroler,Guatemala,Portero,34,Bueno,Ricardo Jérez
unior F,Colombia,Delantero Centro,33,Bueno,Luis Carlos Ruiz
ndependiente Medellí,Colombia,Medio Derecho | Medio Centro Ofensivo | ,30,Bueno,Maicol Balanta
eportivo Past,Colombia,Medio Centro Defensivo,33,Bueno,Francisco Rodríguez
D Everton de Viña del Ma,Chile,Lateral Derecho,25,Bueno,Camilo Rodríguez
ohang Steeler,Colombia,Delantero Centro | Medio Derecho | Medio Izquierdo | ,27,Bueno,Manuel Palacios
eportivo Past,Colombia,Delantero Centro | Medio Derecho | Medio Izquierdo | ,27,Bueno,Ray Vanegas
eportes Tolim,Colombia,Medio Centro Defensivo | Medio Centro | ,28,Bueno,Carlos Robles
lianza Petroler,Colombia,Delantero Centro,32,Bueno,César Arias
úcuta Deportiv,Colombia,Carrilero Derecho | Lateral Derecho | Extremo Derecho | ,33,Bueno,Alcatraz
eportivo Cal,Colombia,Portero,27,Bueno,Johan Wallens
SV 1860 Münche,Germany,Defensa Central | Medio Centro Defensivo | ,29,Bueno,Dennis Erdmann
udax Italian,Chile,Medio Centro Defensivo | Medio Centro | ,26,Bueno,Luis Cabrera
orona Kielc,Finland,Delantero Centro,29,Bueno,Petteri Forsell
tlético Tucumá,Argentina,Portero,33,Bueno,Alejandro Sánchez
D Tondel,Portugal,Medio Centro Defensivo | Medio Centro | ,27,Bueno,João Pedro
sbjerg f,Denmark,Portero,25,Bueno,Jeppe Højbjerg
alborg B,Denmark,Defensa Central,27,Bueno,Kasper Pedersen
lub Améric,Mexico,Medio Centro Defensivo | Medio Centro | ,26,Bueno,Rubén González
G Dynamo Dresde,Austria,Medio Derecho | Medio Centro Ofensivo | Media Punta | ,23,Bueno,Sascha Horvath
eju United F,Korea Republic,Delantero Centro,30,Bueno,Joo Min Kyu
oventry Cit,England,Medio Centro | Medio Centro Ofensivo | ,25,Bueno,Jamie Allen
G Dynamo Dresde,Ghana,Delantero Centro | Extremo Derecho | Extremo Izquierdo | ,25,Bueno,Godsway Donyoh
ochdal,Northern Ireland,Medio Centro Defensivo | Medio Centro | Medio Centro Ofensivo | ,24,Bueno,Callum Camps
amba Osak,Japan,Delantero Centro | Medio Izquierdo | Medio Centro Ofensivo | ,27,Bueno,Yuji Ono
C Cincinnat,United States,Extremo Derecho | Extremo Izquierdo | ,25,Bueno,Kekuta Manneh
osenz,Argentina,Lateral Derecho | Defensa Central | Medio Derecho | ,24,Bueno,Tiago Casasola
ogon Szczeci,Sweden,Delantero Centro | Extremo Izquierdo | ,26,Bueno,Pawel Cibicki
renoble Foot 3,Madagascar,Lateral Izquierdo,32,Bueno,Jérôme Mombris
ree Agent,Ivory Coast,Portero,34,Bueno,Badra Ali Sangaré
lackpoo,England,Medio Izquierdo | Medio Centro Ofensivo | ,24,Bueno,Sullay Kaikai
angwon F,Korea Republic,Defensa Central,29,Bueno,Lim Chai Min
. FC Nürnber,Germany,Delantero Centro | Extremo Derecho | Extremo Izquierdo | ,25,Bueno,Felix Lohkemper
lub Atlético Aldosiv,Colombia,Delantero Centro | Medio Derecho | Extremo Derecho | ,26,Bueno,Sebastián Rincón
