team,nationality,position,age,potential,name
rystal Palac,Ivory Coast,Medio Izquierdo | Media Punta | ,27,Muy Bueno,Wilfried Zaha
alencia C,Spain,Delantero Centro,29,Muy Bueno,Rodrigo
eal Beti,Spain,Defensa Central | Medio Centro Defensivo | ,29,Muy Bueno,Bartra
C Bayern Münche,Austria,Lateral Izquierdo | Defensa Central | ,28,Muy Bueno,David Alaba
iverpoo,Cameroon,Defensa Central,28,Muy Bueno,Joel Matip
uventu,Colombia,Lateral Derecho | Medio Derecho | Extremo Derecho | ,32,Muy Bueno,Juan Cuadrado
fL Wolfsbur,Belgium,Portero,28,Muy Bueno,Koen Casteels
ayer 04 Leverkuse,Finland,Portero,30,Muy Bueno,Lukáš Hrádecky
ja,Netherlands,Lateral Izquierdo | Defensa Central | Medio Centro Defensivo | ,30,Muy Bueno,Daley Blind
thletic Clu,Spain,Medio Centro Ofensivo | Extremo Derecho | Extremo Izquierdo | ,27,Muy Bueno,Muniain
intracht Frankfur,Germany,Portero,30,Muy Bueno,Kevin Trapp
anchester Cit,England,Lateral Derecho,30,Muy Bueno,Kyle Walker
uventu,Wales,Medio Centro | Medio Centro Ofensivo | ,29,Muy Bueno,Aaron Ramsey
hanghai SIPG F,Austria,Delantero Centro,31,Muy Bueno,Marko Arnautovic
enerbahçe S,Germany,Delantero Centro | Medio Centro Ofensivo | ,32,Muy Bueno,Max Kruse
C Bayern Münche,Croatia,Medio Izquierdo | Extremo Izquierdo | ,31,Muy Bueno,Ivan Perišic
uventu,Germany,Medio Centro Defensivo | Medio Centro | ,33,Muy Bueno,Sami Khedira
olverhampton Wanderer,Portugal,Portero,32,Muy Bueno,Rui Patrício
rsena,Germany,Medio Centro Ofensivo | Extremo Derecho | ,31,Muy Bueno,Mesut Özil
alian YiFang F,Slovakia,Medio Centro Defensivo | Medio Centro | Medio Centro Ofensivo | ,33,Muy Bueno,Marek Hamšík
alencia C,Argentina,Defensa Central,33,Muy Bueno,Ezequiel Garay
AF,Mexico,Medio Centro Ofensivo | Extremo Derecho | Extremo Izquierdo | ,31,Muy Bueno,Carlos Vela
lympique de Marseill,France,Portero,35,Muy Bueno,Steve Mandanda
eicester Cit,Denmark,Portero,33,Muy Bueno,Kasper Schmeichel
illarreal C,Spain,Defensa Central,34,Muy Bueno,Raúl Albiol
illarreal C,Spain,Medio Centro Defensivo | Medio Izquierdo | Medio Centro | ,35,Muy Bueno,Santi Cazorla
uventu,Italy,Portero,42,Muy Bueno,Gianluigi Buffon
ree Agent,Uruguay,Medio Derecho | Medio Centro Ofensivo | ,28,Muy Bueno,José María Sildero
ree Agent,Uruguay,Defensa Central,28,Muy Bueno,Egidio Maestre Schetino
L Benfic,Portugal,Defensa Central,23,Muy Bueno,Rúben Dias
eal Madri,Uruguay,Medio Centro Defensivo | Medio Centro | ,22,Sobresaliente,Federico Valverde
V Werder Breme,Czech Republic,Portero,28,Muy Bueno,Jirí Pavlenka
orussia Dortmun,Morocco,Lateral Derecho | Lateral Izquierdo | Medio Derecho | ,21,Muy Bueno,Achraf Hakimi
eal Madri,Serbia,Delantero Centro,22,Muy Bueno,Luka Jovic
anchester Cit,Brazil,Delantero Centro,23,Muy Bueno,Gabriel Jesus
lameng,Brazil,Delantero Centro,28,Muy Bueno,Oswaldinato
almeira,Brazil,Delantero Centro | Medio Centro Ofensivo | Media Punta | ,24,Muy Bueno,Nuno Padrenda
tlético Mineir,Brazil,Medio Centro Defensivo | Medio Centro | Medio Centro Ofensivo | ,20,Muy Bueno,Rosberto Dourado
ruzeir,Brazil,Defensa Central | Medio Centro Defensivo | ,24,Muy Bueno,Juiano Mestres
rêmi,Brazil,Portero,32,Muy Bueno,Raphaelito Anjos
anchester Unite,England,Carrilero Derecho | Lateral Derecho | Extremo Derecho | ,22,Muy Bueno,Aaron Wan-Bissaka
orussia Mönchengladbac,Switzerland,Defensa Central | Medio Centro Defensivo | Medio Centro | ,23,Muy Bueno,Denis Zakaria
C Barcelon,Portugal,Lateral Derecho,26,Muy Bueno,Nélson Semedo
ottenham Hotspu,Argentina,Medio Centro | Medio Centro Ofensivo | ,24,Muy Bueno,Giovani Lo Celso
rsena,Ivory Coast,Medio Derecho | Extremo Derecho | ,25,Muy Bueno,Nicolas Pépé
ottenham Hotspu,Netherlands,Medio Centro Ofensivo | Extremo Derecho | Extremo Izquierdo | ,22,Muy Bueno,Steven Bergwijn
