Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1663,5.0,Estratovolcán,False,False,Usu(Japan)
1693,,Estratovolcán,False,False,Etna(Italy)
1755,4.0,Volcán subglacial,False,False,Katla(Iceland)
1843,2.0,Estratovolcán,False,False,Lamongan(Indonesia)
1872,3.0,Volcán complejo,False,False,Vesuvius(Italy)
1878,2.0,Volcán escudo,False,False,Okmok(United States)
1913,3.0,Escudo piroclástico,False,False,Ambrym(Vanuatu)
1949,2.0,Estratovolcán,False,False,Purace(Colombia)
1957,2.0,Caldera,False,False,Aso(Japan)
1963,3.0,Estratovolcán,False,False,Irazu(Costa Rica)
1971,3.0,Estratovolcán,False,False,Fuego(Guatemala)
1992,3.0,Cono de ceniza,False,False,"Negro, Cerro(Nicaragua)"
1997,,Estratovolcán,False,False,Hakkoda Group(Japan)
1997,,Estratovolcán,False,False,Adatara(Japan)
1997,,Caldera,False,False,Aso(Japan)
2004,1.0,Estratovolcán,False,False,Egon(Indonesia)
2013,,Estratovolcán,False,False,Paluweh(Indonesia)
2013,,Estratovolcán,False,False,Sakura-jima(Japan)
2015,,Estratovolcán,False,False,Karangetang [Api Siau](Indonesia)
-1460,6.0,Caldera,False,False,Taupo(New Zealand)
1000,7.0,Estratovolcán,False,False,Changbaishan(North Korea)
1727,4.0,Estratovolcán,False,False,Oraefajokull(Iceland)
1826,3.0,Estratovolcán,False,False,Kelut(Indonesia)
1868,2.0,Volcán escudo,False,False,Mauna Loa(United States)
1869,2.0,Estratovolcán,False,False,Lewotobi(Indonesia)
1895,2.0,Caldera,False,False,Dakataua(Papua New Guinea)
1900,2.0,Estratovolcán,False,False,Adatara(Japan)
1900,,Cono de piedra pómez,False,False,Tullu Moje(Ethiopia)
1902,2.0,Estratovolcán,False,False,Merapi(Indonesia)
1907,2.0,Estratovolcán,False,False,Lewotobi(Indonesia)
1913,2.0,Estratovolcán,False,False,Awu(Indonesia)
1930,3.0,Volcán complejo,False,False,Asama(Japan)
1932,,Estratovolcán,False,False,Merapi(Indonesia)
1938,1.0,Volcán escudo,False,False,"Nyamuragira(Congo, DRC)"
1938,2.0,Estratovolcán,False,False,Mayon(Philippines)
1954,,Estratovolcán,False,False,Camiguin(Philippines)
1958,2.0,Estratovolcán,False,False,Mahawu(Indonesia)
1961,,Estratovolcán,False,False,Tate-yama(Japan)
1964,2.0,Estratovolcán,False,False,Paluweh(Indonesia)
1992,4.0,Estratovolcán,False,False,Spurr(United States)
1995,,Estratovolcán,False,False,Parker(Philippines)
1998,,Estratovolcán,False,False,Kelut(Indonesia)
2000,3.0,Estratovolcán,False,False,Arenal(Costa Rica)
2010,1.0,Volcán complejo,False,False,Pacaya(Guatemala)
2010,,Estratovolcán,False,False,Merapi(Indonesia)
2011,,Estratovolcán,False,False,Lokon-Empung(Indonesia)
2013,,Estratovolcán,False,False,Merapi(Indonesia)
2016,,Estratovolcán,False,False,Rinjani(Indonesia)
2018,,Volcán escudo,False,False,Kilauea(United States)
1280,6.0,Caldera,False,False,Quilotoa(Ecuador)
1540,4.0,Domo de lava,False,False,Augustine(United States)
1660,6.0,Volcán complejo,False,False,Long Island(Papua New Guinea)
1858,,Estratovolcán,False,False,Tate-yama(Japan)
1864,2.0,Estratovolcán,False,False,Kelut(Indonesia)
1873,2.0,Estratovolcán,False,False,Ragang(Philippines)
1902,3.0,Estratovolcán,False,False,Tori-shima(Japan)
1907,2.0,Volcán escudo,False,False,Alayta(Ethiopia)
1909,2.0,Estratovolcán,False,False,Semeru(Indonesia)
1919,4.0,Estratovolcán,False,False,Kelut(Indonesia)
1919,,Estratovolcán,False,False,Nasu(Japan)
1920,3.0,Estratovolcán,False,False,Izalco(El Salvador)
1938,,Estratovolcán,False,False,Bandai(Japan)
1949,3.0,Estratovolcán,False,False,Villarrica(Chile)
1963,3.0,Estratovolcán,False,False,Fuego(Guatemala)
1968,3.0,Estratovolcán,False,False,Mayon(Philippines)
1985,3.0,Estratovolcán,False,False,Semeru(Indonesia)
1992,2.0,Volcán complejo,False,False,Marapi(Indonesia)
2001,2.0,Estratovolcán,False,False,Stromboli(Italy)
2004,4.0,Estratovolcán,False,False,Manam(Papua New Guinea)
2010,,Estratovolcán,False,False,Sarigan(United States)
2018,2.0,Estratovolcán,False,False,Etna(Italy)
2020,,Estratovolcán,False,False,Taal(Philippines)
-3580,6.0,Estratovolcán,False,False,Taal(Philippines)
-2040,6.0,Volcán complejo,False,False,Long Island(Papua New Guinea)
653,6.0,Caldera,False,False,Dakataua(Papua New Guinea)
683,6.0,Escudo piroclástico,False,False,Rabaul(Papua New Guinea)
950,,Volcán subglacial,False,False,Katla(Iceland)
1580,3.0,Respiradero de fisura,False,False,San Jorge(Portugal)
1581,4.0,Estratovolcán,False,False,Fuego(Guatemala)
1608,3.0,Estratovolcán,False,False,Gamalama(Indonesia)
1625,5.0,Volcán subglacial,False,False,Katla(Iceland)
1660,4.0,Estratovolcán,False,False,Teon(Pacific Ocean)
1773,2.0,Estratovolcán,False,False,Gamalama(Indonesia)
1779,2.0,Volcán complejo,False,False,Vesuvius(Italy)
1801,2.0,Estratovolcán,False,False,Chokai(Japan)
1804,3.0,Caldera,False,False,Shikotsu(Japan)
1820,2.0,Estratovolcán,False,False,Westdahl(United States)
1845,4.0,Estratovolcán,False,False,Hekla(Iceland)
1867,2.0,Volcán complejo,False,False,Zao(Japan)
1870,2.0,Volcán escudo,False,False,Aoba(Vanuatu)
1910,,Caldera,False,False,Taupo(New Zealand)
1952,,Volcán complejo,False,False,Hakone(Japan)
1953,2.0,Caldera,False,False,Aso(Japan)
1963,3.0,Estratovolcán,False,False,Irazu(Costa Rica)
1974,1.0,Estratovolcán,False,False,Ritter Island(Papua New Guinea)
1986,2.0,Estratovolcán,False,False,Merapi(Indonesia)
1987,3.0,Volcán complejo,False,False,Pacaya(Guatemala)
1990,,Escudo piroclástico,False,False,Rabaul(Papua New Guinea)
1993,,Estratovolcán,False,False,Pinatubo(Philippines)
2000,2.0,Estratovolcán,False,False,Miyake-jima(Japan)
2006,1.0,Estratovolcán,False,False,Mayon(Philippines)
2009,,Estratovolcán,False,False,Redoubt(United States)
2016,,Estratovolcán,False,False,Sinabung(Indonesia)
2018,,Estratovolcán,False,False,Kusatsu-Shirane(Japan)
2019,2.0,Estratovolcán,False,False,Stromboli(Italy)
-1645,6.0,Caldera,False,False,Aniakchak(United States)
1636,3.0,Estratovolcán,False,False,Hekla(Iceland)
1669,3.0,Estratovolcán,False,False,Etna(Italy)
1698,3.0,Volcán complejo,False,False,Vesuvius(Italy)
